key,value,date
Muse,0,2008-8
Muse,0,2008-9
Muse,0,2008-10
Muse,0,2008-11
Muse,0,2008-12
Muse,0,2009-1
Muse,0,2009-2
Muse,0,2009-3
Muse,0,2009-4
Muse,0,2009-5
Muse,0,2009-6
Muse,0,2009-7
Muse,10,2009-8
Muse,0,2009-9
Muse,0,2009-10
Muse,0,2009-11
Muse,0,2009-12
Muse,0,2010-1
Muse,0,2010-2
Muse,0,2010-3
Muse,0,2010-4
Muse,0,2010-5
Muse,0,2010-6
Muse,0,2010-7
Muse,0,2010-8
Muse,0,2010-9
Muse,0,2010-10
Muse,43,2010-11
Muse,203,2010-12
Muse,169,2011-1
Muse,43,2011-2
Muse,40,2011-3
Muse,70,2011-4
Muse,65,2011-5
Muse,71,2011-6
Muse,32,2011-7
Muse,19,2011-8
Muse,43,2011-9
Muse,35,2011-10
Muse,34,2011-11
Muse,102,2011-12
Muse,17,2012-1
Muse,66,2012-2
Muse,30,2012-3
Muse,56,2012-4
Muse,30,2012-5
Muse,62,2012-6
Muse,84,2012-7
Muse,15,2012-8
Muse,42,2012-9
Muse,33,2012-10
Muse,8,2012-11
Muse,18,2012-12
Muse,21,2013-1
Muse,28,2013-2
Muse,0,2013-3
Muse,17,2013-4
Muse,15,2013-5
Muse,15,2013-6
Muse,0,2013-7
Muse,5,2013-8
Muse,17,2013-9
Muse,1,2013-10
Muse,11,2013-11
Muse,27,2013-12
Muse,10,2014-1
Muse,12,2014-2
Muse,19,2014-3
Muse,4,2014-4
Muse,4,2014-5
Muse,0,2014-6
Muse,0,2014-7
Muse,0,2014-8
Muse,5,2014-9
Muse,0,2014-10
Muse,0,2014-11
Muse,0,2014-12
MGMT,0,2008-8
MGMT,0,2008-9
MGMT,0,2008-10
MGMT,0,2008-11
MGMT,0,2008-12
MGMT,0,2009-1
MGMT,0,2009-2
MGMT,0,2009-3
MGMT,0,2009-4
MGMT,0,2009-5
MGMT,0,2009-6
MGMT,0,2009-7
MGMT,1,2009-8
MGMT,0,2009-9
MGMT,0,2009-10
MGMT,0,2009-11
MGMT,0,2009-12
MGMT,0,2010-1
MGMT,0,2010-2
MGMT,0,2010-3
MGMT,0,2010-4
MGMT,0,2010-5
MGMT,0,2010-6
MGMT,0,2010-7
MGMT,0,2010-8
MGMT,0,2010-9
MGMT,0,2010-10
MGMT,48,2010-11
MGMT,103,2010-12
MGMT,116,2011-1
MGMT,109,2011-2
MGMT,86,2011-3
MGMT,42,2011-4
MGMT,51,2011-5
MGMT,28,2011-6
MGMT,19,2011-7
MGMT,64,2011-8
MGMT,34,2011-9
MGMT,10,2011-10
MGMT,15,2011-11
MGMT,3,2011-12
MGMT,20,2012-1
MGMT,18,2012-2
MGMT,6,2012-3
MGMT,24,2012-4
MGMT,41,2012-5
MGMT,82,2012-6
MGMT,24,2012-7
MGMT,8,2012-8
MGMT,4,2012-9
MGMT,8,2012-10
MGMT,5,2012-11
MGMT,1,2012-12
MGMT,0,2013-1
MGMT,9,2013-2
MGMT,1,2013-3
MGMT,0,2013-4
MGMT,6,2013-5
MGMT,0,2013-6
MGMT,5,2013-7
MGMT,2,2013-8
MGMT,42,2013-9
MGMT,18,2013-10
MGMT,12,2013-11
MGMT,9,2013-12
MGMT,18,2014-1
MGMT,24,2014-2
MGMT,8,2014-3
MGMT,12,2014-4
MGMT,0,2014-5
MGMT,0,2014-6
MGMT,0,2014-7
MGMT,0,2014-8
MGMT,2,2014-9
MGMT,0,2014-10
MGMT,0,2014-11
MGMT,0,2014-12
alt-J,0,2008-8
alt-J,0,2008-9
alt-J,0,2008-10
alt-J,0,2008-11
alt-J,0,2008-12
alt-J,0,2009-1
alt-J,0,2009-2
alt-J,0,2009-3
alt-J,0,2009-4
alt-J,0,2009-5
alt-J,0,2009-6
alt-J,0,2009-7
alt-J,0,2009-8
alt-J,0,2009-9
alt-J,0,2009-10
alt-J,0,2009-11
alt-J,0,2009-12
alt-J,0,2010-1
alt-J,0,2010-2
alt-J,0,2010-3
alt-J,0,2010-4
alt-J,0,2010-5
alt-J,0,2010-6
alt-J,0,2010-7
alt-J,0,2010-8
alt-J,0,2010-9
alt-J,0,2010-10
alt-J,0,2010-11
alt-J,0,2010-12
alt-J,0,2011-1
alt-J,0,2011-2
alt-J,0,2011-3
alt-J,0,2011-4
alt-J,0,2011-5
alt-J,0,2011-6
alt-J,0,2011-7
alt-J,0,2011-8
alt-J,0,2011-9
alt-J,0,2011-10
alt-J,0,2011-11
alt-J,0,2011-12
alt-J,0,2012-1
alt-J,0,2012-2
alt-J,0,2012-3
alt-J,0,2012-4
alt-J,0,2012-5
alt-J,0,2012-6
alt-J,0,2012-7
alt-J,0,2012-8
alt-J,0,2012-9
alt-J,0,2012-10
alt-J,0,2012-11
alt-J,0,2012-12
alt-J,0,2013-1
alt-J,1,2013-2
alt-J,0,2013-3
alt-J,0,2013-4
alt-J,0,2013-5
alt-J,0,2013-6
alt-J,0,2013-7
alt-J,0,2013-8
alt-J,0,2013-9
alt-J,0,2013-10
alt-J,0,2013-11
alt-J,0,2013-12
alt-J,0,2014-1
alt-J,0,2014-2
alt-J,0,2014-3
alt-J,0,2014-4
alt-J,41,2014-5
alt-J,64,2014-6
alt-J,36,2014-7
alt-J,42,2014-8
alt-J,161,2014-9
alt-J,46,2014-10
alt-J,40,2014-11
alt-J,37,2014-12
The National,0,2008-8
The National,0,2008-9
The National,0,2008-10
The National,0,2008-11
The National,0,2008-12
The National,0,2009-1
The National,0,2009-2
The National,0,2009-3
The National,0,2009-4
The National,0,2009-5
The National,0,2009-6
The National,0,2009-7
The National,1,2009-8
The National,0,2009-9
The National,0,2009-10
The National,0,2009-11
The National,0,2009-12
The National,0,2010-1
The National,0,2010-2
The National,0,2010-3
The National,0,2010-4
The National,0,2010-5
The National,0,2010-6
The National,0,2010-7
The National,0,2010-8
The National,0,2010-9
The National,0,2010-10
The National,1,2010-11
The National,69,2010-12
The National,21,2011-1
The National,3,2011-2
The National,0,2011-3
The National,3,2011-4
The National,6,2011-5
The National,21,2011-6
The National,19,2011-7
The National,37,2011-8
The National,0,2011-9
The National,0,2011-10
The National,0,2011-11
The National,0,2011-12
The National,0,2012-1
The National,0,2012-2
The National,0,2012-3
The National,2,2012-4
The National,1,2012-5
The National,0,2012-6
The National,7,2012-7
The National,0,2012-8
The National,0,2012-9
The National,0,2012-10
The National,0,2012-11
The National,0,2012-12
The National,0,2013-1
The National,0,2013-2
The National,0,2013-3
The National,0,2013-4
The National,5,2013-5
The National,10,2013-6
The National,0,2013-7
The National,2,2013-8
The National,1,2013-9
The National,0,2013-10
The National,0,2013-11
The National,0,2013-12
The National,2,2014-1
The National,0,2014-2
The National,5,2014-3
The National,18,2014-4
The National,22,2014-5
The National,0,2014-6
The National,38,2014-7
The National,53,2014-8
The National,18,2014-9
The National,8,2014-10
The National,12,2014-11
The National,66,2014-12
Tame Impala,0,2008-8
Tame Impala,0,2008-9
Tame Impala,0,2008-10
Tame Impala,0,2008-11
Tame Impala,0,2008-12
Tame Impala,0,2009-1
Tame Impala,0,2009-2
Tame Impala,0,2009-3
Tame Impala,0,2009-4
Tame Impala,0,2009-5
Tame Impala,0,2009-6
Tame Impala,0,2009-7
Tame Impala,0,2009-8
Tame Impala,0,2009-9
Tame Impala,0,2009-10
Tame Impala,0,2009-11
Tame Impala,0,2009-12
Tame Impala,0,2010-1
Tame Impala,0,2010-2
Tame Impala,0,2010-3
Tame Impala,0,2010-4
Tame Impala,0,2010-5
Tame Impala,0,2010-6
Tame Impala,0,2010-7
Tame Impala,0,2010-8
Tame Impala,0,2010-9
Tame Impala,0,2010-10
Tame Impala,0,2010-11
Tame Impala,9,2010-12
Tame Impala,63,2011-1
Tame Impala,2,2011-2
Tame Impala,1,2011-3
Tame Impala,0,2011-4
Tame Impala,0,2011-5
Tame Impala,1,2011-6
Tame Impala,0,2011-7
Tame Impala,0,2011-8
Tame Impala,0,2011-9
Tame Impala,3,2011-10
Tame Impala,0,2011-11
Tame Impala,4,2011-12
Tame Impala,0,2012-1
Tame Impala,0,2012-2
Tame Impala,0,2012-3
Tame Impala,0,2012-4
Tame Impala,0,2012-5
Tame Impala,7,2012-6
Tame Impala,0,2012-7
Tame Impala,0,2012-8
Tame Impala,0,2012-9
Tame Impala,0,2012-10
Tame Impala,0,2012-11
Tame Impala,3,2012-12
Tame Impala,20,2013-1
Tame Impala,5,2013-2
Tame Impala,2,2013-3
Tame Impala,38,2013-4
Tame Impala,3,2013-5
Tame Impala,6,2013-6
Tame Impala,1,2013-7
Tame Impala,0,2013-8
Tame Impala,0,2013-9
Tame Impala,0,2013-10
Tame Impala,2,2013-11
Tame Impala,0,2013-12
Tame Impala,2,2014-1
Tame Impala,80,2014-2
Tame Impala,91,2014-3
Tame Impala,13,2014-4
Tame Impala,0,2014-5
Tame Impala,3,2014-6
Tame Impala,23,2014-7
Tame Impala,13,2014-8
Tame Impala,10,2014-9
Tame Impala,0,2014-10
Tame Impala,0,2014-11
Tame Impala,1,2014-12
of Montreal,0,2008-8
of Montreal,0,2008-9
of Montreal,0,2008-10
of Montreal,0,2008-11
of Montreal,0,2008-12
of Montreal,0,2009-1
of Montreal,0,2009-2
of Montreal,0,2009-3
of Montreal,0,2009-4
of Montreal,0,2009-5
of Montreal,0,2009-6
of Montreal,0,2009-7
of Montreal,0,2009-8
of Montreal,0,2009-9
of Montreal,0,2009-10
of Montreal,0,2009-11
of Montreal,0,2009-12
of Montreal,0,2010-1
of Montreal,0,2010-2
of Montreal,0,2010-3
of Montreal,0,2010-4
of Montreal,0,2010-5
of Montreal,0,2010-6
of Montreal,0,2010-7
of Montreal,0,2010-8
of Montreal,0,2010-9
of Montreal,0,2010-10
of Montreal,5,2010-11
of Montreal,45,2010-12
of Montreal,5,2011-1
of Montreal,6,2011-2
of Montreal,11,2011-3
of Montreal,3,2011-4
of Montreal,2,2011-5
of Montreal,10,2011-6
of Montreal,4,2011-7
of Montreal,0,2011-8
of Montreal,1,2011-9
of Montreal,1,2011-10
of Montreal,0,2011-11
of Montreal,6,2011-12
of Montreal,1,2012-1
of Montreal,0,2012-2
of Montreal,6,2012-3
of Montreal,31,2012-4
of Montreal,12,2012-5
of Montreal,19,2012-6
of Montreal,20,2012-7
of Montreal,3,2012-8
of Montreal,0,2012-9
of Montreal,10,2012-10
of Montreal,4,2012-11
of Montreal,4,2012-12
of Montreal,0,2013-1
of Montreal,0,2013-2
of Montreal,1,2013-3
of Montreal,0,2013-4
of Montreal,0,2013-5
of Montreal,0,2013-6
of Montreal,0,2013-7
of Montreal,0,2013-8
of Montreal,1,2013-9
of Montreal,0,2013-10
of Montreal,0,2013-11
of Montreal,0,2013-12
of Montreal,2,2014-1
of Montreal,0,2014-2
of Montreal,11,2014-3
of Montreal,0,2014-4
of Montreal,0,2014-5
of Montreal,0,2014-6
of Montreal,0,2014-7
of Montreal,18,2014-8
of Montreal,12,2014-9
of Montreal,18,2014-10
of Montreal,9,2014-11
of Montreal,74,2014-12
Beach House,0,2008-8
Beach House,0,2008-9
Beach House,0,2008-10
Beach House,0,2008-11
Beach House,0,2008-12
Beach House,0,2009-1
Beach House,0,2009-2
Beach House,0,2009-3
Beach House,0,2009-4
Beach House,0,2009-5
Beach House,0,2009-6
Beach House,0,2009-7
Beach House,0,2009-8
Beach House,0,2009-9
Beach House,0,2009-10
Beach House,0,2009-11
Beach House,0,2009-12
Beach House,0,2010-1
Beach House,0,2010-2
Beach House,0,2010-3
Beach House,0,2010-4
Beach House,0,2010-5
Beach House,0,2010-6
Beach House,0,2010-7
Beach House,0,2010-8
Beach House,0,2010-9
Beach House,0,2010-10
Beach House,2,2010-11
Beach House,9,2010-12
Beach House,9,2011-1
Beach House,2,2011-2
Beach House,0,2011-3
Beach House,0,2011-4
Beach House,2,2011-5
Beach House,4,2011-6
Beach House,1,2011-7
Beach House,0,2011-8
Beach House,11,2011-9
Beach House,0,2011-10
Beach House,0,2011-11
Beach House,2,2011-12
Beach House,5,2012-1
Beach House,6,2012-2
Beach House,3,2012-3
Beach House,8,2012-4
Beach House,11,2012-5
Beach House,12,2012-6
Beach House,14,2012-7
Beach House,8,2012-8
Beach House,4,2012-9
Beach House,0,2012-10
Beach House,4,2012-11
Beach House,0,2012-12
Beach House,0,2013-1
Beach House,1,2013-2
Beach House,13,2013-3
Beach House,17,2013-4
Beach House,0,2013-5
Beach House,7,2013-6
Beach House,0,2013-7
Beach House,7,2013-8
Beach House,2,2013-9
Beach House,1,2013-10
Beach House,8,2013-11
Beach House,0,2013-12
Beach House,4,2014-1
Beach House,9,2014-2
Beach House,20,2014-3
Beach House,21,2014-4
Beach House,19,2014-5
Beach House,23,2014-6
Beach House,24,2014-7
Beach House,52,2014-8
Beach House,10,2014-9
Beach House,7,2014-10
Beach House,1,2014-11
Beach House,30,2014-12
Arcade Fire,0,2008-8
Arcade Fire,0,2008-9
Arcade Fire,0,2008-10
Arcade Fire,0,2008-11
Arcade Fire,0,2008-12
Arcade Fire,0,2009-1
Arcade Fire,0,2009-2
Arcade Fire,0,2009-3
Arcade Fire,0,2009-4
Arcade Fire,0,2009-5
Arcade Fire,0,2009-6
Arcade Fire,0,2009-7
Arcade Fire,0,2009-8
Arcade Fire,0,2009-9
Arcade Fire,0,2009-10
Arcade Fire,0,2009-11
Arcade Fire,0,2009-12
Arcade Fire,0,2010-1
Arcade Fire,0,2010-2
Arcade Fire,0,2010-3
Arcade Fire,0,2010-4
Arcade Fire,0,2010-5
Arcade Fire,0,2010-6
Arcade Fire,0,2010-7
Arcade Fire,0,2010-8
Arcade Fire,0,2010-9
Arcade Fire,0,2010-10
Arcade Fire,5,2010-11
Arcade Fire,73,2010-12
Arcade Fire,60,2011-1
Arcade Fire,42,2011-2
Arcade Fire,36,2011-3
Arcade Fire,4,2011-4
Arcade Fire,6,2011-5
Arcade Fire,24,2011-6
Arcade Fire,22,2011-7
Arcade Fire,9,2011-8
Arcade Fire,3,2011-9
Arcade Fire,16,2011-10
Arcade Fire,0,2011-11
Arcade Fire,5,2011-12
Arcade Fire,0,2012-1
Arcade Fire,0,2012-2
Arcade Fire,4,2012-3
Arcade Fire,4,2012-4
Arcade Fire,23,2012-5
Arcade Fire,0,2012-6
Arcade Fire,11,2012-7
Arcade Fire,0,2012-8
Arcade Fire,0,2012-9
Arcade Fire,0,2012-10
Arcade Fire,0,2012-11
Arcade Fire,0,2012-12
Arcade Fire,0,2013-1
Arcade Fire,0,2013-2
Arcade Fire,0,2013-3
Arcade Fire,0,2013-4
Arcade Fire,0,2013-5
Arcade Fire,0,2013-6
Arcade Fire,0,2013-7
Arcade Fire,2,2013-8
Arcade Fire,0,2013-9
Arcade Fire,6,2013-10
Arcade Fire,12,2013-11
Arcade Fire,0,2013-12
Arcade Fire,2,2014-1
Arcade Fire,7,2014-2
Arcade Fire,18,2014-3
Arcade Fire,0,2014-4
Arcade Fire,10,2014-5
Arcade Fire,3,2014-6
Arcade Fire,0,2014-7
Arcade Fire,0,2014-8
Arcade Fire,3,2014-9
Arcade Fire,0,2014-10
Arcade Fire,0,2014-11
Arcade Fire,0,2014-12
Warpaint,0,2008-8
Warpaint,0,2008-9
Warpaint,0,2008-10
Warpaint,0,2008-11
Warpaint,0,2008-12
Warpaint,0,2009-1
Warpaint,0,2009-2
Warpaint,0,2009-3
Warpaint,0,2009-4
Warpaint,0,2009-5
Warpaint,0,2009-6
Warpaint,0,2009-7
Warpaint,0,2009-8
Warpaint,0,2009-9
Warpaint,0,2009-10
Warpaint,0,2009-11
Warpaint,0,2009-12
Warpaint,0,2010-1
Warpaint,0,2010-2
Warpaint,0,2010-3
Warpaint,0,2010-4
Warpaint,0,2010-5
Warpaint,0,2010-6
Warpaint,0,2010-7
Warpaint,0,2010-8
Warpaint,0,2010-9
Warpaint,0,2010-10
Warpaint,0,2010-11
Warpaint,0,2010-12
Warpaint,0,2011-1
Warpaint,40,2011-2
Warpaint,3,2011-3
Warpaint,4,2011-4
Warpaint,0,2011-5
Warpaint,0,2011-6
Warpaint,0,2011-7
Warpaint,0,2011-8
Warpaint,0,2011-9
Warpaint,0,2011-10
Warpaint,2,2011-11
Warpaint,0,2011-12
Warpaint,3,2012-1
Warpaint,2,2012-2
Warpaint,3,2012-3
Warpaint,10,2012-4
Warpaint,2,2012-5
Warpaint,2,2012-6
Warpaint,1,2012-7
Warpaint,2,2012-8
Warpaint,1,2012-9
Warpaint,1,2012-10
Warpaint,0,2012-11
Warpaint,1,2012-12
Warpaint,0,2013-1
Warpaint,0,2013-2
Warpaint,0,2013-3
Warpaint,0,2013-4
Warpaint,0,2013-5
Warpaint,4,2013-6
Warpaint,0,2013-7
Warpaint,1,2013-8
Warpaint,0,2013-9
Warpaint,3,2013-10
Warpaint,4,2013-11
Warpaint,0,2013-12
Warpaint,21,2014-1
Warpaint,21,2014-2
Warpaint,32,2014-3
Warpaint,17,2014-4
Warpaint,42,2014-5
Warpaint,22,2014-6
Warpaint,43,2014-7
Warpaint,50,2014-8
Warpaint,32,2014-9
Warpaint,17,2014-10
Warpaint,0,2014-11
Warpaint,0,2014-12
Belle and Sebastian,0,2008-8
Belle and Sebastian,0,2008-9
Belle and Sebastian,0,2008-10
Belle and Sebastian,0,2008-11
Belle and Sebastian,0,2008-12
Belle and Sebastian,0,2009-1
Belle and Sebastian,0,2009-2
Belle and Sebastian,0,2009-3
Belle and Sebastian,0,2009-4
Belle and Sebastian,0,2009-5
Belle and Sebastian,0,2009-6
Belle and Sebastian,0,2009-7
Belle and Sebastian,0,2009-8
Belle and Sebastian,0,2009-9
Belle and Sebastian,0,2009-10
Belle and Sebastian,0,2009-11
Belle and Sebastian,0,2009-12
Belle and Sebastian,0,2010-1
Belle and Sebastian,0,2010-2
Belle and Sebastian,0,2010-3
Belle and Sebastian,0,2010-4
Belle and Sebastian,0,2010-5
Belle and Sebastian,0,2010-6
Belle and Sebastian,0,2010-7
Belle and Sebastian,0,2010-8
Belle and Sebastian,0,2010-9
Belle and Sebastian,0,2010-10
Belle and Sebastian,0,2010-11
Belle and Sebastian,0,2010-12
Belle and Sebastian,46,2011-1
Belle and Sebastian,44,2011-2
Belle and Sebastian,16,2011-3
Belle and Sebastian,1,2011-4
Belle and Sebastian,12,2011-5
Belle and Sebastian,57,2011-6
Belle and Sebastian,18,2011-7
Belle and Sebastian,26,2011-8
Belle and Sebastian,1,2011-9
Belle and Sebastian,4,2011-10
Belle and Sebastian,3,2011-11
Belle and Sebastian,1,2011-12
Belle and Sebastian,18,2012-1
Belle and Sebastian,8,2012-2
Belle and Sebastian,10,2012-3
Belle and Sebastian,3,2012-4
Belle and Sebastian,8,2012-5
Belle and Sebastian,30,2012-6
Belle and Sebastian,15,2012-7
Belle and Sebastian,18,2012-8
Belle and Sebastian,1,2012-9
Belle and Sebastian,1,2012-10
Belle and Sebastian,0,2012-11
Belle and Sebastian,0,2012-12
Belle and Sebastian,0,2013-1
Belle and Sebastian,0,2013-2
Belle and Sebastian,2,2013-3
Belle and Sebastian,0,2013-4
Belle and Sebastian,0,2013-5
Belle and Sebastian,3,2013-6
Belle and Sebastian,3,2013-7
Belle and Sebastian,5,2013-8
Belle and Sebastian,5,2013-9
Belle and Sebastian,0,2013-10
Belle and Sebastian,0,2013-11
Belle and Sebastian,0,2013-12
Belle and Sebastian,13,2014-1
Belle and Sebastian,7,2014-2
Belle and Sebastian,3,2014-3
Belle and Sebastian,0,2014-4
Belle and Sebastian,6,2014-5
Belle and Sebastian,0,2014-6
Belle and Sebastian,0,2014-7
Belle and Sebastian,1,2014-8
Belle and Sebastian,5,2014-9
Belle and Sebastian,1,2014-10
Belle and Sebastian,0,2014-11
Belle and Sebastian,0,2014-12
Surfer Blood,0,2008-8
Surfer Blood,0,2008-9
Surfer Blood,0,2008-10
Surfer Blood,0,2008-11
Surfer Blood,0,2008-12
Surfer Blood,0,2009-1
Surfer Blood,0,2009-2
Surfer Blood,0,2009-3
Surfer Blood,0,2009-4
Surfer Blood,0,2009-5
Surfer Blood,0,2009-6
Surfer Blood,0,2009-7
Surfer Blood,0,2009-8
Surfer Blood,0,2009-9
Surfer Blood,0,2009-10
Surfer Blood,0,2009-11
Surfer Blood,0,2009-12
Surfer Blood,0,2010-1
Surfer Blood,0,2010-2
Surfer Blood,0,2010-3
Surfer Blood,0,2010-4
Surfer Blood,0,2010-5
Surfer Blood,0,2010-6
Surfer Blood,0,2010-7
Surfer Blood,0,2010-8
Surfer Blood,0,2010-9
Surfer Blood,0,2010-10
Surfer Blood,0,2010-11
Surfer Blood,0,2010-12
Surfer Blood,0,2011-1
Surfer Blood,0,2011-2
Surfer Blood,0,2011-3
Surfer Blood,1,2011-4
Surfer Blood,0,2011-5
Surfer Blood,0,2011-6
Surfer Blood,0,2011-7
Surfer Blood,0,2011-8
Surfer Blood,0,2011-9
Surfer Blood,0,2011-10
Surfer Blood,0,2011-11
Surfer Blood,0,2011-12
Surfer Blood,0,2012-1
Surfer Blood,0,2012-2
Surfer Blood,0,2012-3
Surfer Blood,0,2012-4
Surfer Blood,0,2012-5
Surfer Blood,38,2012-6
Surfer Blood,0,2012-7
Surfer Blood,0,2012-8
Surfer Blood,0,2012-9
Surfer Blood,0,2012-10
Surfer Blood,0,2012-11
Surfer Blood,0,2012-12
Surfer Blood,0,2013-1
Surfer Blood,1,2013-2
Surfer Blood,0,2013-3
Surfer Blood,0,2013-4
Surfer Blood,0,2013-5
Surfer Blood,0,2013-6
Surfer Blood,0,2013-7
Surfer Blood,1,2013-8
Surfer Blood,0,2013-9
Surfer Blood,0,2013-10
Surfer Blood,0,2013-11
Surfer Blood,0,2013-12
Surfer Blood,98,2014-1
Surfer Blood,91,2014-2
Surfer Blood,26,2014-3
Surfer Blood,2,2014-4
Surfer Blood,9,2014-5
Surfer Blood,4,2014-6
Surfer Blood,2,2014-7
Surfer Blood,49,2014-8
Surfer Blood,18,2014-9
Surfer Blood,27,2014-10
Surfer Blood,8,2014-11
Surfer Blood,8,2014-12
Cut Copy,0,2008-8
Cut Copy,0,2008-9
Cut Copy,0,2008-10
Cut Copy,0,2008-11
Cut Copy,0,2008-12
Cut Copy,0,2009-1
Cut Copy,0,2009-2
Cut Copy,0,2009-3
Cut Copy,0,2009-4
Cut Copy,0,2009-5
Cut Copy,0,2009-6
Cut Copy,0,2009-7
Cut Copy,0,2009-8
Cut Copy,0,2009-9
Cut Copy,0,2009-10
Cut Copy,0,2009-11
Cut Copy,0,2009-12
Cut Copy,0,2010-1
Cut Copy,0,2010-2
Cut Copy,0,2010-3
Cut Copy,0,2010-4
Cut Copy,0,2010-5
Cut Copy,0,2010-6
Cut Copy,0,2010-7
Cut Copy,0,2010-8
Cut Copy,0,2010-9
Cut Copy,0,2010-10
Cut Copy,3,2010-11
Cut Copy,38,2010-12
Cut Copy,18,2011-1
Cut Copy,4,2011-2
Cut Copy,8,2011-3
Cut Copy,0,2011-4
Cut Copy,14,2011-5
Cut Copy,9,2011-6
Cut Copy,3,2011-7
Cut Copy,0,2011-8
Cut Copy,0,2011-9
Cut Copy,1,2011-10
Cut Copy,1,2011-11
Cut Copy,0,2011-12
Cut Copy,0,2012-1
Cut Copy,1,2012-2
Cut Copy,6,2012-3
Cut Copy,7,2012-4
Cut Copy,16,2012-5
Cut Copy,1,2012-6
Cut Copy,3,2012-7
Cut Copy,8,2012-8
Cut Copy,3,2012-9
Cut Copy,6,2012-10
Cut Copy,0,2012-11
Cut Copy,0,2012-12
Cut Copy,4,2013-1
Cut Copy,0,2013-2
Cut Copy,0,2013-3
Cut Copy,0,2013-4
Cut Copy,0,2013-5
Cut Copy,0,2013-6
Cut Copy,0,2013-7
Cut Copy,0,2013-8
Cut Copy,0,2013-9
Cut Copy,0,2013-10
Cut Copy,32,2013-11
Cut Copy,1,2013-12
Cut Copy,1,2014-1
Cut Copy,39,2014-2
Cut Copy,18,2014-3
Cut Copy,28,2014-4
Cut Copy,16,2014-5
Cut Copy,11,2014-6
Cut Copy,4,2014-7
Cut Copy,17,2014-8
Cut Copy,4,2014-9
Cut Copy,14,2014-10
Cut Copy,1,2014-11
Cut Copy,2,2014-12
Washed Out,0,2008-8
Washed Out,0,2008-9
Washed Out,0,2008-10
Washed Out,0,2008-11
Washed Out,0,2008-12
Washed Out,0,2009-1
Washed Out,0,2009-2
Washed Out,0,2009-3
Washed Out,0,2009-4
Washed Out,0,2009-5
Washed Out,0,2009-6
Washed Out,0,2009-7
Washed Out,0,2009-8
Washed Out,0,2009-9
Washed Out,0,2009-10
Washed Out,0,2009-11
Washed Out,0,2009-12
Washed Out,0,2010-1
Washed Out,0,2010-2
Washed Out,0,2010-3
Washed Out,0,2010-4
Washed Out,0,2010-5
Washed Out,0,2010-6
Washed Out,0,2010-7
Washed Out,0,2010-8
Washed Out,0,2010-9
Washed Out,0,2010-10
Washed Out,0,2010-11
Washed Out,0,2010-12
Washed Out,3,2011-1
Washed Out,1,2011-2
Washed Out,11,2011-3
Washed Out,16,2011-4
Washed Out,4,2011-5
Washed Out,8,2011-6
Washed Out,21,2011-7
Washed Out,0,2011-8
Washed Out,0,2011-9
Washed Out,1,2011-10
Washed Out,2,2011-11
Washed Out,2,2011-12
Washed Out,7,2012-1
